Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4f170e09c696acc63fdf66d7c89daa7ec2d806599b40ebb07c756df3c4eb7e84,2014-05,South Wales Police,South Wales Police,-3.438714,51.615201,On or near AUBREY ROAD,W01001217,Rhondda Cynon Taf 018A,Investigation complete; no suspect identified
e994e5731c70cf8069da1f7819809c52cbfa0094b146e21bbca42a4327eb619f,2014-05,South Wales Police,South Wales Police,-3.145389,51.481683,On or near SOUTH PARK ROAD,W01001873,Cardiff 038C,Investigation complete; no suspect identified
c42d42e7fcf30b6d5e1d82be74df5f2f21cb754bd0cdf649ad85fed80c71a16c,2014-05,South Wales Police,South Wales Police,-3.194890,51.484040,On or near PITMAN LANE,W01001861,Cardiff 034D,Investigation complete; no suspect identified
f39ec60c82edbdef84851af238e243a1d95664a9663cb2eda1e7eea86abfb63e,2014-05,South Wales Police,South Wales Police,-3.306573,51.662029,On or near THORNWOOD,W01001322,Merthyr Tydfil 007E,Investigation complete; no suspect identified
e8d2290f213c38e119a4ff7b717b663bba510bb795daac6dbf7a60c0756cb63c,2014-05,South Wales Police,South Wales Police,-3.575861,51.509320,On or near A4061,W01001021,Bridgend 014A,Unable to prosecute suspect
bce89a75281d3e562dd4f969282ebd164e34d918dcadcf3da1d5e5d96ee7d60e,2014-05,South Wales Police,South Wales Police,-3.779704,51.591156,On or near Parking Area,W01000932,Neath Port Talbot 019A,Suspect charged
3564351b15cb8ea68c9817125f8601dc5c1c630c3a76f0b8d033a3498b212a26,2014-05,South Wales Police,South Wales Police,-3.892905,51.656810,On or near GLAN-Y-WERN ROAD,W01000799,Swansea 010D,Investigation complete; no suspect identified
904bd7736eeadfbcf5bdfe8cfd76687bfba1cfa4c4f7f06ec91c08a03a2d500e,2014-05,South Wales Police,South Wales Police,-3.972444,51.645995,On or near RAVENHILL ROAD,W01000831,Swansea 013D,Investigation complete; no suspect identified
8088884b4ebc9dc0424492fb3aa3e53411d53f8ea76efea0f72eb4191fc13b2d,2014-05,South Wales Police,South Wales Police,-3.474412,51.717401,On or near CRAIG Y DARREN,W01001156,Rhondda Cynon Taf 003E,Unable to prosecute suspect
afa14154cc5ec8e9763486bfa1ed15639fcc43be91aba5b87969f8a9703b3561,2014-05,South Wales Police,South Wales Police,-3.851180,51.713173,On or near HEOL GLYNDERNWEN,W01000888,Neath Port Talbot 004A,Investigation complete; no suspect identified
d695a9ae98e16702f5670adf38a1cc1ef953a8cd5788939736dfd6a38e75dd21,2014-05,South Wales Police,South Wales Police,-3.986287,51.617138,On or near CORY STREET,W01000861,Swansea 027D,Suspect charged
4974b711e12e6f3ac4974535dcf73826be7169816c0cef838ada5ddcbf545b41,2014-05,South Wales Police,South Wales Police,-3.605639,51.508277,On or near ELM CRESCENT,W01000990,Bridgend 017B,Suspect charged
cd93964485d479f033cf44504f8b7b6d28a9e79be045c0e18d7c7ca458c091af,2014-05,South Wales Police,South Wales Police,-3.459444,51.625646,On or near ZION TERRACE,W01001247,Rhondda Cynon Taf 016C,Unable to prosecute suspect
00717f73b94bb7faf38b129c3c8e1838b7def6f2ec2677373b8375b19a5e82d7,2014-05,South Wales Police,South Wales Police,-4.211871,51.544703,On or near Parking Area,W01000775,Swansea 030A,Investigation complete; no suspect identified
099046456d98ed0cbf18ab21be795e932996f4bd723be47027ec0a167b5b1c5d,2014-05,South Wales Police,South Wales Police,-3.801615,51.662508,On or near WATER STREET,W01000939,Neath Port Talbot 008D,Investigation complete; no suspect identified
6319a7c9c5f8b91e41279c4a92d80237c62ba396cc18985215bd24e0b25d2ca5,2014-05,South Wales Police,South Wales Police,-3.972550,51.644438,On or near MOORVIEW CLOSE,W01000762,Swansea 013C,Investigation complete; no suspect identified
f8af3110e381c0a9ff2a760b414a8d0a73f8ccc5701411b9593d9577def17e8d,2014-05,South Wales Police,South Wales Police,-3.940654,51.619817,On or near Nightclub,W01001955,Swansea 025F,Investigation complete; no suspect identified
8d37f23d92bd21e42e84ae0218f67d4ed3b1fc1eea0a4df22e47e97e28a836ed,2014-05,South Wales Police,South Wales Police,-3.311341,51.588288,On or near DYFFRYN GARDENS,W01001237,Rhondda Cynon Taf 022B,Unable to prosecute suspect
a4e20421aed7e4e07062fb8ec85e98e5dd37401cbab8e5dde408d2dfb50a06b7,2014-05,South Wales Police,South Wales Police,-3.341982,51.599883,On or near Parking Area,W01001182,Rhondda Cynon Taf 021A,Investigation complete; no suspect identified
a2c9576a5c3028d0a7cac17dfa185232245988c38526914b61e473531af61757,2014-05,South Wales Police,South Wales Police,-3.793582,51.601889,On or near PENTYLA-BAGLAN ROAD,W01000889,Neath Port Talbot 015A,Investigation complete; no suspect identified
0f6dd2488430103a6f00cb018f0f3b969dee76655b0d77c8f9247a90c3965241,2014-05,South Wales Police,South Wales Police,-3.140279,51.536026,On or near KENMARE MEWS,W01001842,Cardiff 003B,Investigation complete; no suspect identified
30d50557259720da7548fdea07f087587528a66f57f590ea2c565dc636065d82,2014-05,South Wales Police,South Wales Police,-3.171736,51.481980,On or near Parking Area,W01001939,Cardiff 032F,Investigation complete; no suspect identified
13f7abf7de809fe2bf1e3afcac2643dfad41c34c5c414da040e350d027f3f29a,2014-05,South Wales Police,South Wales Police,-3.958976,51.645393,On or near EIDDWEN ROAD,W01000835,Swansea 013E,Unable to prosecute suspect
30a079521cfa4d5e8e268ddc4cf2673ce3b0983f6d1f61d298d608d1f8be023f,2014-05,South Wales Police,South Wales Police,-3.177068,51.477629,On or near Caroline Street,W01001941,Cardiff 032G,Investigation complete; no suspect identified
73b05cbbc82af04aa6c4bd5930deec1c2f7f60e81f185ac30cab1ea0833573c5,2014-05,South Wales Police,South Wales Police,-3.220822,51.508653,On or near ERW LAS,W01001891,Cardiff 020C,Suspect charged
716826a87da790c31dc1ce65bccd87b3222abc461367be056969f6912a8c7cfb,2014-05,South Wales Police,South Wales Police,-3.179290,51.481140,On or near Shopping Area,W01001939,Cardiff 032F,Unable to prosecute suspect
b424e33e1d6692fe1a7979bd5ae1d0501975cb1b575fcaf9c1d6edd70e8a939c,2014-05,South Wales Police,South Wales Police,-3.507760,51.527714,On or near PEN GWERN,W01001007,Bridgend 009D,Suspect charged
b4ebfba2fba7bd8851fd144c600d63d8d93c021ca6278cb4a85dd34346486c07,2014-05,South Wales Police,South Wales Police,-3.608581,51.507509,On or near A473,W01000990,Bridgend 017B,Unable to prosecute suspect
c676cde03f016ad3eff241fbdfef6e9bdf4c11df6e516200ec690f013a48208f,2014-05,South Wales Police,South Wales Police,-3.176214,51.483059,On or near Parking Area,W01001939,Cardiff 032F,Investigation complete; no suspect identified
c85942196c4160d27ac7a38dcb2863d4c31eeffc65075a8bd1e4fe754457da9e,2014-05,South Wales Police,South Wales Police,-3.172929,51.493091,On or near CRWYS ROAD,W01001837,Cardiff 030C,Investigation complete; no suspect identified
9f4d374ce6e95a581dfa74bc76047c09c5b938cb39053ea9e372998bb3c4cfd3,2014-05,South Wales Police,South Wales Police,-3.377435,51.741651,On or near A4054,W01001318,Merthyr Tydfil 005D,Offender given a caution
