Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
25b858340e8959a6b4c37d775a12f3492c0decbda2c55e85934e5b145cb07259,2013-12,South Wales Police,South Wales Police,-3.818761,51.644026,On or near FARM ROAD,W01000894,Neath Port Talbot 013A,Investigation complete; no suspect identified
25b858340e8959a6b4c37d775a12f3492c0decbda2c55e85934e5b145cb07259,2013-12,South Wales Police,South Wales Police,-3.818761,51.644026,On or near FARM ROAD,W01000894,Neath Port Talbot 013A,Suspect charged
25b858340e8959a6b4c37d775a12f3492c0decbda2c55e85934e5b145cb07259,2013-12,South Wales Police,South Wales Police,-3.818761,51.644026,On or near FARM ROAD,W01000894,Neath Port Talbot 013A,Suspect charged
25b858340e8959a6b4c37d775a12f3492c0decbda2c55e85934e5b145cb07259,2013-12,South Wales Police,South Wales Police,-3.818761,51.644026,On or near FARM ROAD,W01000894,Neath Port Talbot 013A,Investigation complete; no suspect identified
3842203bee35040e1cd3859355321d07392a6472212c9275d43099e0912eb3b5,2013-12,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
61f22c09f9df8cfd254564d678486c0e430f392bea336a43c62a337ddec08035,2013-12,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
c658168f70dff13c461b2b7a064f1ad8f72788f1f008a6e170b700e912726140,2013-12,South Wales Police,South Wales Police,,,No location,,,Suspect charged
d2a31e60be31e0d4cc268d87025d3b415453acdce62f4c1c3ecdddf0b71403a1,2013-12,South Wales Police,South Wales Police,,,No location,,,Local resolution
5ba61a8f88f9934fe2a503e3f1d5a3e5f031a4d2c1d731ec8398f900be2e3c98,2013-12,South Wales Police,South Wales Police,,,No location,,,Suspect charged
18108d2112443af5deb2d4130882c3545abeb408d4bf29ecebbb98474218b7b9,2013-12,South Wales Police,South Wales Police,,,No location,,,Offender given penalty notice
7535257516642cbcf60953d2369cdbf24ffb95e0495192b38d2928238bd23f34,2013-12,South Wales Police,South Wales Police,,,No location,,,Suspect charged
a054e9e945ae86068c6ca552b0e3bd8c9cd3f6a28e3e35622395b975b0adf123,2013-12,South Wales Police,South Wales Police,,,No location,,,Suspect charged
2b9c7c6796f6e21d0782a1831d80a1c8c5557921320eb2cd5c5ea9ae70512622,2013-12,South Wales Police,South Wales Police,,,No location,,,Suspect charged
5ba61a8f88f9934fe2a503e3f1d5a3e5f031a4d2c1d731ec8398f900be2e3c98,2013-12,South Wales Police,South Wales Police,,,No location,,,Suspect charged
48046bfca435e96104a8345998ee9ff26953b9aaeb0ad46b1219503bef4624ba,2013-12,South Wales Police,South Wales Police,,,No location,,,Offender given a caution
