Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1ed83763a32d4071a47615b3fed90776cd25ca50def099e029b19bdd292a06be,2013-07,South Wales Police,South Wales Police,-3.200909,51.481280,On or near DELTA STREET,W01001861,Cardiff 034D,Investigation complete; no suspect identified
167f0c8ba44080d599e96159dbb7920bae3ff256e49b488d0751dd5199d362f1,2013-07,South Wales Police,South Wales Police,-3.812081,51.648319,On or near ADDISON ROAD,W01000936,Neath Port Talbot 012A,Investigation complete; no suspect identified
242e36c3ed9ffc044878103882c233f5e9259681d00bf940187dc609ac372fe0,2013-07,South Wales Police,South Wales Police,-3.254554,51.469236,On or near CWRT-YR-ALA AVENUE,W01001705,Cardiff 045C,Investigation complete; no suspect identified
bcc5951373358f1b882025ed07d0f5ed9916853a782cc9aee907e8ac0691231e,2013-07,South Wales Police,South Wales Police,-3.990069,51.652712,On or near Petrol Station,W01000836,Swansea 011E,Investigation complete; no suspect identified
122018a466b0d6d7e32c6b1efde98db931a18a848ab19e7aadc995f925460a71,2013-07,South Wales Police,South Wales Police,-3.164864,51.483568,On or near HOWARD TERRACE,W01001695,Cardiff 036B,Investigation complete; no suspect identified
7507cea2cd2f668dba05b128a41ad25accadacc0e27e973e0baf264688daf95b,2013-07,South Wales Police,South Wales Police,-3.637754,51.646187,On or near SUNNY CRESCENT,W01000921,Neath Port Talbot 011B,Investigation complete; no suspect identified
82a6356ef4f3f19d3d847ce103576d4c6284c845f07af3eee715c7defd325431,2013-07,South Wales Police,South Wales Police,-3.234306,51.481860,On or near BARNARD AVENUE,W01001706,Cardiff 041B,Investigation complete; no suspect identified
836c40471367289ff25438d926156d465901ed71d43ff79d31b1dbe274e11f65,2013-07,South Wales Police,South Wales Police,-3.377727,51.747905,On or near ROBERTS LANE,W01001315,Merthyr Tydfil 004D,Investigation complete; no suspect identified
618ed4922aa3f70c01d00d4336b95ced8de1b1684a1e0a9050ff2d83c7ea57f5,2013-07,South Wales Police,South Wales Police,-3.692833,51.485667,On or near GREENWAYS,W01001044,Bridgend 019C,Investigation complete; no suspect identified
1771c5a31faec3b7773c37866042430d498bf3ff33a8636f69f06215065df815,2013-07,South Wales Police,South Wales Police,-3.236811,51.489800,On or near CADWGAN PLACE,W01001752,Cardiff 031B,Investigation complete; no suspect identified
827e17728ec66516201898725324a7141b5be0274e1b7fe644d7bd167d3154c2,2013-07,South Wales Police,South Wales Police,-3.345614,51.596254,On or near LEYSHON STREET,W01001182,Rhondda Cynon Taf 021A,Investigation complete; no suspect identified
11468d37d32c5e56664a6f98a2c7afcffc559f684137748e08f8e60ee370ab39,2013-07,South Wales Police,South Wales Police,-3.644788,51.599725,On or near OAKWOOD,W01001020,Bridgend 002E,Investigation complete; no suspect identified
6f487e50330a619a997b0542c2a52fb170768fd96160bd1039338af82776b8e2,2013-07,South Wales Police,South Wales Police,-3.870495,51.662070,On or near FFORDD LLYFFANT,W01000795,Swansea 006A,Investigation complete; no suspect identified
e86b67c5b6d1d6c8db65e7f8109fa4b0c1967332deaa6316e7dfd3a1da4ba307,2013-07,South Wales Police,South Wales Police,-3.140193,51.482354,On or near WILLOWS AVENUE,W01001871,Cardiff 037B,Investigation complete; no suspect identified
0b5b88769117c5b664e52a45c11801c10c06da1c3ac0e54f72f215a37d286f56,2013-07,South Wales Police,South Wales Police,-3.198232,51.531321,On or near BETHEL PLACE,W01001800,Cardiff 005D,Investigation complete; no suspect identified
