Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
283d81a937504f13ab31cc7ee6e7e68d83b95557caf93b0d7805d0ab72d9c44c,2013-11,South Wales Police,South Wales Police,-3.096654,51.525984,On or near MACHEN CLOSE,W01001878,Cardiff 011B,Investigation complete; no suspect identified
2a59e12ac7b3789b86b888c953c3a1b51f86bd5371177c2eb10c0a496f2569fe,2013-11,South Wales Police,South Wales Police,-3.184954,51.477990,On or near Shopping Area,W01001856,Cardiff 042B,Investigation complete; no suspect identified
6bfc9521cc3746b5b08237acf547966615b0cca86f94dde794881b650f642ef3,2013-11,South Wales Police,South Wales Police,-3.451255,51.541034,On or near LLANBRYN GARDENS,W01001161,Rhondda Cynon Taf 029B,Suspect charged
a33c8498f0e760396bfd60c02dd8446c2aed7096abe659960afb5ca7cff86c06,2013-11,South Wales Police,South Wales Police,-3.903567,51.695601,On or near BRYNTEG,W01000752,Swansea 002C,Suspect charged
e999ae22594bf5f544b4a74ec76a3e1b1873bd863c3ee6ca42ee33a2ab2799ab,2013-11,South Wales Police,South Wales Police,-3.138897,51.523379,On or near Petrol Station,W01001811,Cardiff 009A,Investigation complete; no suspect identified
eb67337113ebcb43d21a570f07fc4931f4a9d75ba636a9b6049316517d19dc54,2013-11,South Wales Police,South Wales Police,-3.317760,51.570179,On or near CARDIGAN CLOSE,W01001246,Rhondda Cynon Taf 025D,Suspect charged
c6229790b19f1fe1000b06a2f4799adeac966ec2e0c1526ab8ea9ff4467ecbc6,2013-11,South Wales Police,South Wales Police,-3.579500,51.506627,On or near Dunraven Place,W01001021,Bridgend 014A,Suspect charged
c6229790b19f1fe1000b06a2f4799adeac966ec2e0c1526ab8ea9ff4467ecbc6,2013-11,South Wales Police,South Wales Police,-3.579500,51.506627,On or near Dunraven Place,W01001021,Bridgend 014A,Suspect charged
caa3f21ee758041cbbb54a153d0729864dcb0b8162fa7ad64608000b2276503c,2013-11,South Wales Police,South Wales Police,-3.252012,51.410563,On or near WESTON SQUARE,W01001073,The Vale of Glamorgan 015E,Investigation complete; no suspect identified
d997b2930b3658d813c30abb503e81b356ea1bfa978ea5dd96b928cbcae5cb0c,2013-11,South Wales Police,South Wales Police,-3.475613,51.594125,On or near CORONATION ROAD,W01000976,Bridgend 003A,Offender given a caution
