Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2aa6af2d10853c2c438e48b12f49e79bbf5b2316c2287616f33f52481997652d,2014-07,South Wales Police,South Wales Police,,,No location,,,Suspect charged
ef083cf66bde8b6c3508c81899ee79ccc169e6b5057134fbe4f2c7a890f5d82a,2014-07,South Wales Police,South Wales Police,,,No location,,,Local resolution
c18154f3c584a8ab09844ce10692e944701e0024bef6daf72e059454e508b4e6,2014-07,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
4ced5032a532ab790f44fd5cae8b438f92f7db4ff72d9d0fe5daf33051efe452,2014-07,South Wales Police,South Wales Police,,,No location,,,Suspect charged
62a7d645ba852c6a87a87d81987a9ce3b8e11394eddcaa05e9ed9650ff7c54b5,2014-07,South Wales Police,South Wales Police,,,No location,,,Formal action is not in the public interest
b60ca0c187fad2c0475d333823eebfa8dcc6367b3ae6d6781ed09755837f8a86,2014-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
29411de8f8f5a134656bab5363833894ee75cafc9ef5c9c8c18a640411474889,2014-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
218db3f857923679884742dc5e87e04e4c5f145db8c8e0aaedbb0365a6b34508,2014-07,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
21da939bd6ed20d1ad155bb0455ac10c0d9ed3c5f2c8ad696e68b54e4a97a407,2014-07,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
8e0e3e42fe5e9c5d247b8b0e2a90564114f339117cf6236d2b2380333ceffc44,2014-07,South Wales Police,South Wales Police,,,No location,,,Suspect charged
8e0e3e42fe5e9c5d247b8b0e2a90564114f339117cf6236d2b2380333ceffc44,2014-07,South Wales Police,South Wales Police,,,No location,,,Suspect charged
04edd0e5938ef2ef3152d468c5b9a3af339c43dedd6cbd02c3f2916e1a133a3d,2014-07,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
1b198ae1acf7beeedce6a72dbc8e8c59bb168053e97781b57589dbbdd7b04719,2014-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ae23c30d030e1f6b0e01aad6784387d3948eeb23fba8e4d0547726e26d2a9f96,2014-07,South Wales Police,South Wales Police,,,No location,,,Suspect charged
d42ff942effdebca9bf1a5c9f1bbaceadab548e5a305a3e6e9ac6371d61c63b7,2014-07,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
e548f9e7d70346b33046db602817893897546d73d9e589c5b2441583df753701,2014-07,South Wales Police,South Wales Police,,,No location,,,Formal action is not in the public interest
