Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
312fea6ae9250a8190ae2107e97af1d6ed86017db83d83244ba29f16d52b2c5f,2014-04,South Wales Police,South Wales Police,,,No location,,,Suspect charged
d3b0e78e2b68d1074339339e187bcef7013196105f27fb8c41cdeae759e9c659,2014-04,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
6be7d192e8af724275657a35a4df92065238e14d009c17370761f415a042e2b8,2014-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
570fe61b93a2cbf6308283c6236b3a05ce6290daca7a686a7ec71055da889f0f,2014-04,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
e59d3787184dd692940ba9d21d6e18cfdf29e60005d3c71d147000801934d3a7,2014-04,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
399048df73416aa7478cc99a6f30c2e67b8391cb0e79a8a2a3bd11d85795f4df,2014-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b19cf0597b72d7089c140977aee9510a86242d3b677588a3440143b49e7f14ce,2014-04,South Wales Police,South Wales Police,,,No location,,,Formal action is not in the public interest
a0f572a8c885112fc4ea9abf9257fd244fcf2fb1fb9fb84126d384a432105c5c,2014-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
4afe2e906674caa4189a9f0687b6ae6fadfed5af11d0457e86bc7dcadb346136,2014-04,South Wales Police,South Wales Police,,,No location,,,Suspect charged
488c87a6aa9a24650dc73a4b5476baf0809c8f61a417a2e76aa979faea8e845e,2014-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
936a262160e437d7b5007257a84720a5b70b39d888e6768fb74b9fd2d84e9ad2,2014-04,South Wales Police,South Wales Police,,,No location,,,Suspect charged
c6af17d965e6bfef84e29358270e07ef1b23a1b5f24b2f57e5614d5b8a9b41d2,2014-04,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
7b6e70bac364a4c53ac7b2b4cae4e61850147caf40f669dcf12c2ad774ff29c7,2014-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ec1c53f1d4b5f36a8f8343b88d4531b483706492c844c181631f90e6d9fc138f,2014-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
8a5ba9b6304fdab7de40c23d9ea38e86c265bf1cbf809309f1717f52256ae24f,2014-04,South Wales Police,South Wales Police,,,No location,,,Suspect charged
35923844474594c6bb8c9d43cb44710d7ba6527d24f386c01ef528fde1122541,2014-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
cd057887277efcfe10696a87fd42d2f2fbf96a41e2486804ca07439e52935ae8,2014-04,South Wales Police,South Wales Police,,,No location,,,Suspect charged
e12aa64eaeb56029f49b5920e56f2789f996b9687d4d2c3af6c86cce37507b79,2014-04,South Wales Police,South Wales Police,,,No location,,,Offender given a drugs possession warning
4a53f88bc82f6790448057ce440ec4f8e4ba04f80c4e94295a2b79e83a8076c6,2014-04,South Wales Police,South Wales Police,,,No location,,,Suspect charged
86f4417ba7f2a55d0e91f1d0c3dfbc0c36e4fdd0fbccd47c496170d8a4cd3857,2014-04,South Wales Police,South Wales Police,,,No location,,,Suspect charged
4c27ffbdee4076a96cd4d738087fe0ad24c18bf1c3ba7225ad4c66148e2bc721,2014-04,South Wales Police,South Wales Police,,,No location,,,Suspect charged
66a1dc0965a0ba17d8910b84ab87a1fb92ea91a97801ef8208edd93ebf25c844,2014-04,South Wales Police,South Wales Police,,,No location,,,Suspect charged
dbfa4a0f8ad9257db703b495ea1e40b3e0f61804e085bd6be1f832feca34cd33,2014-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
66ace403d4ef8bf86c5536d650a4673dc8a9a5c8fa394dd7aac4a19e0206c93a,2014-04,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
9204f3c9d5265a99d7457dc7b2cc22fca1a40c06aa2402e450f69d8160e0451c,2014-04,South Wales Police,South Wales Police,-3.186306,51.458518,On or near Shopping Area,W01001947,Cardiff 048E,Investigation complete; no suspect identified
3e974282c02c049611fab984b217ff6b92f6e19f4bc417568815374abb61102a,2014-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
89281c9b83c5b751984a779618d9ad621d55a1eeb001e2ecedcfeb0f7020494d,2014-04,South Wales Police,South Wales Police,-3.182802,51.456035,On or near MOREL COURT,W01001947,Cardiff 048E,Investigation complete; no suspect identified
fd2cd07cd8d54f83ed709b5e29b25c356e38dd5a798b880dbaede09627ffcd44,2014-04,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7fe0592edfe76de060950412cd34bfc622f5354a04eafc600523299c5aaf5b2f,2014-04,South Wales Police,South Wales Police,-3.174301,51.478673,On or near Parking Area,W01001941,Cardiff 032G,Unable to prosecute suspect
