Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
391990562943c0366bde47039da3be0580500cf23b65513f8fd9a71de11d2d6d,2012-11,South Wales Police,South Wales Police,-3.952946,51.615072,On or near BURROWS ROAD,W01000749,Swansea 026A,Investigation complete; no suspect identified
c109ca6d15cb28fe51bfb731d683488f77cd07189eb956fe1fbebbe9e8769e43,2012-11,South Wales Police,South Wales Police,-3.952946,51.615072,On or near BURROWS ROAD,W01000749,Swansea 026A,Investigation complete; no suspect identified
32891c761b265856c3418e095c2b2c22f7609724a69c1724de36150465d4f568,2012-11,South Wales Police,South Wales Police,-3.154300,51.488394,On or near BROADWAY,W01001698,Cardiff 036E,Investigation complete; no suspect identified
587bf750ced3ab8699b2c1b3c893eb446c25ab03bef77a66a9f1f6221969b043,2012-11,South Wales Police,South Wales Police,-3.382103,51.762178,On or near ALMOND GROVE,W01001299,Merthyr Tydfil 008A,Investigation complete; no suspect identified
fb880ad8b62f56d7b9ff5907a41538fa169a6ead3a268ae7c067f34661f92938,2012-11,South Wales Police,South Wales Police,-3.504884,51.659385,On or near BROOK STREET,W01001270,Rhondda Cynon Taf 010B,Investigation complete; no suspect identified
c0b40675f587de8c97a52e7f1075220e5ee4040ffedf44c90aa9dd3e24292bd2,2012-11,South Wales Police,South Wales Police,-3.184333,51.471810,On or near DINAS PLACE,W01001765,Cardiff 044B,Investigation complete; no suspect identified
47a925da67b1f57af8e059a13ff9f4726f529759931f49961f5c7e26c2a7b1b4,2012-11,South Wales Police,South Wales Police,-3.958884,51.622815,On or near TERRACE ROAD,W01000869,Swansea 024C,Investigation complete; no suspect identified
61483a72de6b68041b80328adf6f7fe718d25aa91623226c50324d5094ecdac2,2012-11,South Wales Police,South Wales Police,-3.537303,51.620219,On or near WAUN WEN TERRACE,W01001025,Bridgend 003D,Investigation complete; no suspect identified
fd686b2dfd0d6fd591e3488ecf22664dd3e48760240321596ae0a24e58789260,2012-11,South Wales Police,South Wales Police,-3.270107,51.416519,On or near CAREW CLOSE,W01001095,The Vale of Glamorgan 007D,Investigation complete; no suspect identified
5f8abf5436b698da5592a635156e5b4f50b5df7a8d8f2a8134d43bbfe6e9a903,2012-11,South Wales Police,South Wales Police,-3.416108,51.400934,On or near GLEBELAND PLACE,W01001121,The Vale of Glamorgan 014E,Investigation complete; no suspect identified
ed45655ed7e529536f5da9bbf5497ba6572e2192643db25a84441378f619680d,2012-11,South Wales Police,South Wales Police,-3.481065,51.625905,On or near EMLYN TERRACE,W01001166,Rhondda Cynon Taf 016A,Investigation complete; no suspect identified
a8a7f38d3678c75f85a62da532d9e6dc5257468e8d630eaad9abc00702d43b77,2012-11,South Wales Police,South Wales Police,-3.239749,51.504138,On or near CADOC PLACE,W01001784,Cardiff 026F,Investigation complete; no suspect identified
b3f290666beb050a67cf567008a1946b32cc7ebffe27e4f3f27220b32bc1bcba,2012-11,South Wales Police,South Wales Police,-3.265557,51.405886,On or near LLANTWIT STREET,W01001910,The Vale of Glamorgan 012G,Local resolution
c233520b278ee38a2fa623cc7745b0732ba183fd8d12a9c8f15f52a6e59ad5a6,2012-11,South Wales Police,South Wales Police,-3.173712,51.473121,On or near CANAL PARADE,W01001952,Cardiff 049F,Investigation complete; no suspect identified
36d315cb831c14fb0d4d450cb73404cc3c80b5c57b7cb40a71262c512193f3fe,2012-11,South Wales Police,South Wales Police,-3.204417,51.502915,On or near RADYR PLACE,W01001787,Cardiff 023C,Investigation complete; no suspect identified
f66daf7647700ed27ca0ae19e6603e07a53228c63934e5404aa071503866dd17,2012-11,South Wales Police,South Wales Police,-3.447164,51.712290,On or near Parking Area,W01001150,Rhondda Cynon Taf 003B,Investigation complete; no suspect identified
e7e481499baba67ad7da1bd4ae168ad4ee9ec5115e54c1bdddf0fb92c2e888d4,2012-11,South Wales Police,South Wales Police,-3.171897,51.487671,On or near GORDON ROAD,W01001832,Cardiff 033C,Suspect charged
1306d17bc60214e7c2cb1d976650cc72ebaa08cf2f910de39bfda12a19cce8d8,2012-11,South Wales Police,South Wales Police,-3.419214,51.599856,On or near PEN Y DRE,W01001173,Rhondda Cynon Taf 020B,Suspect charged
e81c2cd802a43cea19031d726ce43abb43950eb3c00bf58c10c6ff6acd3e9b7d,2012-11,South Wales Police,South Wales Police,-3.525446,51.651702,On or near DAVID STREET,W01001271,Rhondda Cynon Taf 010C,Suspect charged
8b13b61a21506f1708a6f8a3c200b2857c0d236d9d5bafe4c4688a2fcdb86c65,2012-11,South Wales Police,South Wales Police,-3.957884,51.630124,On or near EMLYN GARDENS,W01000862,Swansea 019A,Offender given a caution
2a8412d290e191cbb7ff224cbd951053b3d696dadc9518d1635499017e510e91,2012-11,South Wales Police,South Wales Police,-3.941381,51.625686,On or near STRYD FAWR,W01001955,Swansea 025F,Suspect charged
18f7cfd150c223232b7e214bf69c05e976f1f7cc5a884a462ae5a8ac2935b948,2012-11,South Wales Police,South Wales Police,-3.326110,51.526869,On or near PARC-Y-FRO,W01001727,Cardiff 014A,Suspect charged
aff6c6cd6f75923dc17ce289aaec7e1e90e84f325850f4ce36cb119e92fc442c,2012-11,South Wales Police,South Wales Police,-3.269365,51.553601,On or near CLOS HEULWEN,W01001240,Rhondda Cynon Taf 026C,Investigation complete; no suspect identified
4bf3f51c829e8a556792eb90b0e4b73ade6aa481e0b004adefa90e32b80e14b7,2012-11,South Wales Police,South Wales Police,-3.270547,51.420453,On or near PENDINE CLOSE,W01001095,The Vale of Glamorgan 007D,Suspect charged
f4d488ccfd22790e8725e0b2fb4ec2e017e0fb23897379e7861d7abd9eb8ef75,2012-11,South Wales Police,South Wales Police,-3.121571,51.522790,On or near BAMPTON ROAD,W01001804,Cardiff 015B,Investigation complete; no suspect identified
003af37dc20af68b4a2cd6a4e0f948b477cc9ba506438ade6c2aad10f54ad28c,2012-11,South Wales Police,South Wales Police,-3.178222,51.477141,On or near Parking Area,W01001941,Cardiff 032G,Offender given penalty notice
8ad95c9171db0784f1797084ed4a7ecb7ad40a8b43ec834408e8e8533b85346d,2012-11,South Wales Police,South Wales Police,-3.805099,51.659227,On or near RECTORY ROAD,W01000939,Neath Port Talbot 008D,Offender given a caution
0b43aed36e3fbcfc9dca2617a09001b5cad9f10f8793309f5ace7ce5472bf963,2012-11,South Wales Police,South Wales Police,-3.352152,51.554861,On or near FOREST ROAD,W01001279,Rhondda Cynon Taf 028F,Suspect charged
9c33a17f521b2c78cde0e82e036f4ccf55d0cf9136998239e9aa3fd44f2b8c60,2012-11,South Wales Police,South Wales Police,-3.908370,51.642261,On or near CANDLESTON PLACE,W01000738,Swansea 014A,Suspect charged
d3dbcfb86cdcea5334e25e08482f68eb4d9a17dbbd87c755212ae85d31891a77,2012-11,South Wales Police,South Wales Police,-3.943709,51.621323,On or near Pedestrian Subway,W01001955,Swansea 025F,Investigation complete; no suspect identified
bb88b6a0516f78bceba7b3dc9d4381a274fe60538c6ad7d7c328ff63ba8ae019,2012-11,South Wales Police,South Wales Police,-3.301399,51.582365,On or near DYNEA ROAD,W01001239,Rhondda Cynon Taf 026B,Investigation complete; no suspect identified
bb3d2a31f4e41e33e5c8a74a68eaca6a0b106148282aa18973b8e4754c27d41f,2012-11,South Wales Police,South Wales Police,-3.818202,51.608389,On or near AFANDALE,W01000961,Neath Port Talbot 016C,Investigation complete; no suspect identified
f09ceefce13f84f2b42317cd72c922508e476fa9f1567a494600c054680f2b68,2012-11,South Wales Police,South Wales Police,-3.989108,51.615895,On or near LEWIS STREET,W01000861,Swansea 027D,Investigation complete; no suspect identified
073a490770bae702f34692684fad39f28ea34e4335d28588e670fe669d54d492,2012-11,South Wales Police,South Wales Police,-3.219214,51.495353,On or near THE CATHEDRAL GREEN,W01001781,Cardiff 026C,Investigation complete; no suspect identified
df60bdfade082688b833b6c2746efbf42624290514e872804113a04fa2a8d6c9,2012-11,South Wales Police,South Wales Police,-3.136134,51.491727,On or near WHITAKER ROAD,W01001875,Cardiff 037C,Investigation complete; no suspect identified
a459388fc29dfef6eb5e700e77ac5b4c363e3b631aa4fdaa9d895d4a635fa36c,2012-11,South Wales Police,South Wales Police,-3.901910,51.660908,On or near FAIRFIELD COURT,W01000794,Swansea 010A,Investigation complete; no suspect identified
