Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-06,South Wales Police,South Wales Police,-3.658223,51.639129,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658223,51.639129,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.649808,51.638618,On or near North Street,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.657789,51.638334,On or near Rathbone Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.649808,51.638618,On or near North Street,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.649808,51.638618,On or near North Street,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658223,51.639129,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658223,51.639129,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658223,51.639129,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658223,51.639129,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.649808,51.638618,On or near North Street,W01000991,Bridgend 001A,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.649808,51.638618,On or near North Street,W01000991,Bridgend 001A,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.649808,51.638618,On or near North Street,W01000991,Bridgend 001A,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.658310,51.639532,On or near Lon-Y-Parc,W01000991,Bridgend 001A,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.658310,51.639532,On or near Lon-Y-Parc,W01000991,Bridgend 001A,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.658310,51.639532,On or near Lon-Y-Parc,W01000991,Bridgend 001A,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.658223,51.639129,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.655989,51.636130,On or near Dan Y Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.648881,51.637363,On or near Railway Terrace,W01000992,Bridgend 001B,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.647430,51.639191,On or near Brynglas Terrace,W01000992,Bridgend 001B,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.655647,51.637852,On or near Protheroe Street,W01000992,Bridgend 001B,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.655989,51.636130,On or near Dan Y Bryn,W01000992,Bridgend 001B,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.655647,51.637852,On or near Protheroe Street,W01000992,Bridgend 001B,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.655647,51.637852,On or near Protheroe Street,W01000992,Bridgend 001B,Burglary,,
,2011-06,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.648881,51.637363,On or near Railway Terrace,W01000992,Bridgend 001B,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.655647,51.637852,On or near Protheroe Street,W01000992,Bridgend 001B,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.655647,51.637852,On or near Protheroe Street,W01000992,Bridgend 001B,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.647530,51.637562,On or near Albert Street,W01000992,Bridgend 001B,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.648646,51.638850,On or near Alexandra Place,W01000992,Bridgend 001B,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.655989,51.636130,On or near Dan Y Bryn,W01000992,Bridgend 001B,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.648881,51.637363,On or near Railway Terrace,W01000992,Bridgend 001B,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.648646,51.638850,On or near Alexandra Place,W01000992,Bridgend 001B,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.658364,51.630314,On or near Bedw Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658364,51.630314,On or near Bedw Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.653729,51.635164,On or near Wesley Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.653729,51.635164,On or near Wesley Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.653729,51.635164,On or near Wesley Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.655435,51.629636,On or near Margam Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.653729,51.635164,On or near Wesley Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658364,51.630314,On or near Bedw Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.656826,51.632521,On or near Hermon Road,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658364,51.630314,On or near Bedw Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.656826,51.632521,On or near Hermon Road,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.653729,51.635164,On or near Wesley Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.656826,51.632521,On or near Hermon Road,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.655479,51.630463,On or near Metcalfe Street,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.656435,51.634478,On or near Talana Terrace,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.656435,51.634478,On or near Talana Terrace,W01000993,Bridgend 001C,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.656435,51.634478,On or near Talana Terrace,W01000993,Bridgend 001C,Burglary,,
,2011-06,South Wales Police,South Wales Police,-3.658364,51.630314,On or near Bedw Street,W01000993,Bridgend 001C,Vehicle crime,,
,2011-06,South Wales Police,South Wales Police,-3.658909,51.631395,On or near Humphreys Terrace,W01000993,Bridgend 001C,Vehicle crime,,
,2011-06,South Wales Police,South Wales Police,-3.653729,51.635164,On or near Wesley Street,W01000993,Bridgend 001C,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.657280,51.629529,On or near Magazine Street,W01000993,Bridgend 001C,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.656826,51.632521,On or near Hermon Road,W01000993,Bridgend 001C,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.658909,51.631395,On or near Humphreys Terrace,W01000993,Bridgend 001C,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.656826,51.632521,On or near Hermon Road,W01000993,Bridgend 001C,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.656435,51.634478,On or near Talana Terrace,W01000993,Bridgend 001C,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.655435,51.629636,On or near Margam Street,W01000993,Bridgend 001C,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.653729,51.635164,On or near Wesley Street,W01000993,Bridgend 001C,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.659349,51.629599,On or near Glanafon Terrace,W01000994,Bridgend 001D,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.659875,51.623441,On or near Station Terrace,W01000994,Bridgend 001D,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.659349,51.629599,On or near Glanafon Terrace,W01000994,Bridgend 001D,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658868,51.625119,On or near Hearts Of Oak Cottages,W01000994,Bridgend 001D,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.659799,51.627686,On or near Blue Mountain,W01000994,Bridgend 001D,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.659349,51.629599,On or near Glanafon Terrace,W01000994,Bridgend 001D,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.659799,51.627686,On or near Blue Mountain,W01000994,Bridgend 001D,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.657197,51.626069,On or near Coegnant Road,W01000994,Bridgend 001D,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.659799,51.627686,On or near Blue Mountain,W01000994,Bridgend 001D,Violent crime,,
,2011-06,South Wales Police,South Wales Police,-3.660746,51.628302,On or near Tonna Road,W01000994,Bridgend 001D,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.659349,51.629599,On or near Glanafon Terrace,W01000994,Bridgend 001D,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.662067,51.619363,On or near Coronation Terrace,W01000995,Bridgend 001E,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.661007,51.620808,On or near Grove Street,W01000995,Bridgend 001E,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.659918,51.620644,On or near Bangor Terrace,W01000995,Bridgend 001E,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.663099,51.619547,On or near Garnwen Terrace,W01000995,Bridgend 001E,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.661007,51.620808,On or near Grove Street,W01000995,Bridgend 001E,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.659918,51.620644,On or near Bangor Terrace,W01000995,Bridgend 001E,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.659918,51.620644,On or near Bangor Terrace,W01000995,Bridgend 001E,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.665698,51.614384,On or near Heol Ty-Gwyn,W01000995,Bridgend 001E,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.662132,51.617195,On or near High Street,W01000995,Bridgend 001E,Burglary,,
,2011-06,South Wales Police,South Wales Police,-3.659918,51.620644,On or near Bangor Terrace,W01000995,Bridgend 001E,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.665250,51.614382,On or near Pentyla,W01000995,Bridgend 001E,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.662781,51.617951,On or near John Street,W01000995,Bridgend 001E,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.665250,51.614382,On or near Pentyla,W01000995,Bridgend 001E,Other crime,,
,2011-06,South Wales Police,South Wales Police,-3.660064,51.610786,On or near Treharne Row,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.660064,51.610786,On or near Treharne Row,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658858,51.609023,On or near Talbot Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.657048,51.608878,On or near Queen Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.651650,51.607380,On or near Bridge Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.660064,51.610786,On or near Treharne Row,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.657048,51.608878,On or near Queen Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.660064,51.610786,On or near Treharne Row,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658858,51.609023,On or near Talbot Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.657968,51.609152,On or near Church Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658858,51.609023,On or near Talbot Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.660064,51.610786,On or near Treharne Row,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658311,51.610640,On or near Zoar Avenue,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.660064,51.610786,On or near Treharne Row,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.652839,51.609890,On or near South Parade,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658858,51.609023,On or near Talbot Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.655224,51.607564,On or near Meadow Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.654478,51.607700,On or near Goodwin Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.658858,51.609023,On or near Talbot Street,W01001014,Bridgend 002A,Anti-social behaviour,,
,2011-06,South Wales Police,South Wales Police,-3.649214,51.607504,On or near Cwm-Du Street,W01001014,Bridgend 002A,Burglary,,
