Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5d8a7ad6d6d2b2749f653d93290c748563f380a650677c03509397445d1c6ad6,2013-03,South Wales Police,South Wales Police,-3.447505,51.634543,On or near CHURCH STREET,W01001201,Rhondda Cynon Taf 014B,Investigation complete; no suspect identified
3b9acfaaf52cb061c72719c149137d15a1e1439c3221e1ac4a8b8a99ef520e47,2013-03,South Wales Police,South Wales Police,-3.451497,51.635096,On or near OAKFIELD TERRACE,W01001201,Rhondda Cynon Taf 014B,Investigation complete; no suspect identified
3d5c5d5346b0525eabb48e647ef5f7f3b968afbc38f22d9da5ba06c02d1286a7,2013-03,South Wales Police,South Wales Police,-3.453572,51.633560,On or near Parking Area,W01001201,Rhondda Cynon Taf 014B,Investigation complete; no suspect identified
1d9e0787a967bbab60245a71015fff3360f7bee80aa2b18d4268eb9b3ee3e838,2013-03,South Wales Police,South Wales Police,-3.452564,51.632790,On or near Petrol Station,W01001201,Rhondda Cynon Taf 014B,Suspect charged
dd06e823f4e19e6d066c30c157af2035b84512fd76fc90606d26bfcc4b007acd,2013-03,South Wales Police,South Wales Police,-3.452564,51.632790,On or near Petrol Station,W01001201,Rhondda Cynon Taf 014B,Investigation complete; no suspect identified
c6c455ecff9ca8f208007ef38cd56c7aeb82fb171fa990e5a27415855d74b921,2013-03,South Wales Police,South Wales Police,-3.453391,51.636961,On or near RAILWAY VIEW,W01001201,Rhondda Cynon Taf 014B,Suspect charged
59a641d64b2cf6bc29d2afae3723af095e6bf038fa25c65d799cf61b0fc39810,2013-03,South Wales Police,South Wales Police,-3.452564,51.632790,On or near Petrol Station,W01001201,Rhondda Cynon Taf 014B,Suspect charged
c8387cabb778569810a06cbab23d2671bf4550df6861f88e70bae0bc1073f907,2013-03,South Wales Police,South Wales Police,-3.446487,51.634798,On or near MOUNTAIN VIEW,W01001201,Rhondda Cynon Taf 014B,Suspect charged
e729b52e4e5dfb6efc97fdcfcb9cb277966f470ed483223a3e7c237b1605b0d6,2013-03,South Wales Police,South Wales Police,-3.452232,51.637299,On or near SHERWOOD STREET,W01001201,Rhondda Cynon Taf 014B,Investigation complete; no suspect identified
e729b52e4e5dfb6efc97fdcfcb9cb277966f470ed483223a3e7c237b1605b0d6,2013-03,South Wales Police,South Wales Police,-3.452232,51.637299,On or near SHERWOOD STREET,W01001201,Rhondda Cynon Taf 014B,Investigation complete; no suspect identified
28326b404c59b9c6843c7e05a54d61161b2088f6f599dbb474e3bf24556040d1,2013-03,South Wales Police,South Wales Police,-3.486794,51.674722,On or near CHURCH STREET,W01001202,Rhondda Cynon Taf 009C,Investigation complete; no suspect identified
11ae1b9fa78fa3c7a07f372b9bf601fc241d53482dd221223dc3dbd261c141fd,2013-03,South Wales Police,South Wales Police,-3.485049,51.674879,On or near CERIDWEN STREET,W01001202,Rhondda Cynon Taf 009C,Investigation complete; no suspect identified
dbc395f4d7ebb9cf64cb52acc674f8e572f0d88383f77c9ab7c2dc1353e9bf1b,2013-03,South Wales Police,South Wales Police,-3.475032,51.669268,On or near GLANVILLE TERRACE,W01001203,Rhondda Cynon Taf 009D,Investigation complete; no suspect identified
6c132997a96a8cde7674e02c5f681997a73228c1bdb6b4e38a995036622b0ba2,2013-03,South Wales Police,South Wales Police,-3.467557,51.666620,On or near HIGHFIELD,W01001203,Rhondda Cynon Taf 009D,Investigation complete; no suspect identified
357c6541ac47a41e78fbc18ccc6ddc6f29c23634752c40fed1056cdc42d6d16d,2013-03,South Wales Police,South Wales Police,-3.480604,51.670736,On or near HEOL ALFRED,W01001203,Rhondda Cynon Taf 009D,Investigation complete; no suspect identified
4868216aeb506f58cfea82ccb91c7eb92bdac7668cfde6982e4c8ce8e8a86b53,2013-03,South Wales Police,South Wales Police,-3.480604,51.670736,On or near HEOL ALFRED,W01001203,Rhondda Cynon Taf 009D,Local resolution
ffe74c8b1265ec4e433bba41d494f53bba5d83c19fa6267bd7cc98995985e9b3,2013-03,South Wales Police,South Wales Police,-3.472791,51.668379,On or near EXCELSIOR TERRACE,W01001203,Rhondda Cynon Taf 009D,Local resolution
5f7ad48e57bc5fb9bcd7c8aecc9032b877d7c679007e63f93680513a5d328e9e,2013-03,South Wales Police,South Wales Police,-3.377102,51.684467,On or near SEYMOUR STREET,W01001205,Rhondda Cynon Taf 006B,Offender given a caution
8390b088ebe7f4e73993cebc8d4b5f0a3de9aafc7c819de23295a40bbcd9d195,2013-03,South Wales Police,South Wales Police,-3.381504,51.678912,On or near KINGCRAFT STREET,W01001206,Rhondda Cynon Taf 006C,Investigation complete; no suspect identified
56a9fb8c12175888b9e3c3b4173ede53132a2054a66789a9198e6944fe520680,2013-03,South Wales Police,South Wales Police,-3.379910,51.676458,On or near CWRT LLANWONNO,W01001206,Rhondda Cynon Taf 006C,Investigation complete; no suspect identified
6efc50daf1b19bb908ef071b28855324705189317ab8a154c0be8760563b1d0e,2013-03,South Wales Police,South Wales Police,-3.379762,51.677755,On or near LLANWONNO ROAD,W01001206,Rhondda Cynon Taf 006C,Investigation complete; no suspect identified
c77fab75b799174b1d826ea5e3d7a135dfaefb56ebfe5d1fce599c2cb0fec498,2013-03,South Wales Police,South Wales Police,-3.378638,51.680277,On or near DARRAN ROAD,W01001206,Rhondda Cynon Taf 006C,Suspect charged
08b9f62f0cc5f080c493eb7a48e45cc71a41e56533df0d0ce2e17352139789e9,2013-03,South Wales Police,South Wales Police,-3.395814,51.685190,On or near BOI CLOSE,W01001207,Rhondda Cynon Taf 006D,Suspect charged
