Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0a18a6f0e4d5af073f85fb548d6332d3618491d7d9de30488d827bfebf87fd0b,2012-06,South Wales Police,South Wales Police,-3.154300,51.488394,On or near BROADWAY,W01001698,Cardiff 036E,Offender given a caution
132cb01775a080807f4db1d881ba4e281a51ef093083f049e4dfca005d03d613,2012-06,South Wales Police,South Wales Police,-3.415454,51.704998,On or near BETHANIA PLACE,W01001168,Rhondda Cynon Taf 004B,Suspect charged
3c05dd78886c9478945d310cc0390c55bf2328040952ee1e8bb015bf798e56cf,2012-06,South Wales Police,South Wales Police,-3.443040,51.713231,On or near MARKET STREET,W01001150,Rhondda Cynon Taf 003B,Investigation complete; no suspect identified
7792cbe9486fe6dc35a44228bd9c9e29bb19311dc5ae1f79a93834b146a113c2,2012-06,South Wales Police,South Wales Police,-4.014094,51.639308,On or near SWANSEA ROAD,W01000756,Swansea 017B,Suspect charged
e068e2410a871088aa95589af8074a285bc5f828c172932dc364c87294c3afcb,2012-06,South Wales Police,South Wales Police,-3.504884,51.659385,On or near BROOK STREET,W01001270,Rhondda Cynon Taf 010B,Investigation complete; no suspect identified
624d438bd4d304e2542c64b43b9cb501a5c8f032349749fc2b5e9bc4a2b1b13f,2012-06,South Wales Police,South Wales Police,-3.148793,51.477307,On or near PORTMANMOOR ROAD,W01001873,Cardiff 038C,Investigation complete; no suspect identified
8d296f0e3ecfaa5d841cdcd4a493ed30be7fa59a991cbceb6c68c2085c028e8b,2012-06,South Wales Police,South Wales Police,-3.443040,51.713231,On or near MARKET STREET,W01001150,Rhondda Cynon Taf 003B,Investigation complete; no suspect identified
2c1bd7c860445ee6a60a434451e8f903b6a5d3aeb7ac3e1382accdbe8de38976,2012-06,South Wales Police,South Wales Police,-3.927342,51.656096,On or near PARC TERRACE,W01000814,Swansea 008E,Investigation complete; no suspect identified
a2c8c50fb095a96012d95f5237aed66d0d67594e81dddebfe58cf65e0ca02ca4,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
27b1011e578dd1bde0c5aa86292f01e248b39f2cb5e95421426747075f07db2a,2012-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
ef629646e4cb789eba5960d4061cc462c36243a51a213e96d98d1cf86ec72a1e,2012-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
4ff1052450a3396d9c2d2226dabcc28e14201234601f758bc8cf6f2babc4b066,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ffc110f606918853f0c438a6c39034528bb1693614627d73b369b57404ab5866,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
fa2f8a463e6e15cd2a6daee4cdc91e3ac62a4e174f4b5dd97764746c8f5d17d0,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
3e035f1597bd292a6f0ac4b77a3bccfb7af297ba794437fcaca34829157b211f,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
2d6201c014b4bcc1cbadf99379bfc2c062bf1f36d2fac3c121efc3ceadacf786,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
aabc58e85c3c6859685544bd2565429f3cde8b7a8608587df76376e1a6f263f9,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
8a0b3a8996ca242778d5292acaca6b8972bf2a8397561694f19a41f26007a506,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
b19f797cff5b1c69544f8ec7b14e346c6a49c9696e43755e1d901c5e8029241b,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
87f04ddc4b758555d8068dd34b8f95968151b1e3a29926e71f1520a7d7524b9c,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
e208fa8d1e7ee21d926404d11e3d99fe002472132f1718dd4850420385778fe7,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
644796a9d79d662ce4215d15e5be30a672815f68ca1dd97e5d06bc82dbe44d0f,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
46f2d5378af13b0a6476457ede7bb9ab668f9f62939b0037c6220dea7998c276,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
66ca5cbb3942ebd6e169f3e265aaa89712c671a2f86ee4c266cb289aabb37ef4,2012-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d9b8f1c18be7a0181304781f29d41f1bc289fd982d1c97a53c3dd6d2a8a69572,2012-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
ba7f7dedb7bd4c337886e6dab709337ea2a0094a3a4464d6c3ef14a93604efa9,2012-06,South Wales Police,South Wales Police,-3.417741,51.585945,On or near INVESTITURE PLACE,W01001251,Rhondda Cynon Taf 024C,Investigation complete; no suspect identified
2b87e25003aa7469874daa9668737c570baad82de34dbc4cda88f3c1088eef23,2012-06,South Wales Police,South Wales Police,-3.432814,51.648885,On or near BRYNBEDW ROAD,W01001276,Rhondda Cynon Taf 013D,Investigation complete; no suspect identified
b88913e02173def773f30e02abf657c941da97df2ac709871bf0b1901e4710ea,2012-06,South Wales Police,South Wales Police,-3.215356,51.477040,On or near VERALLO DRIVE,W01001709,Cardiff 040A,Investigation complete; no suspect identified
3bc265af5a6fd4929e5278ab6840600f27606ff6be2286f606253109bac92190,2012-06,South Wales Police,South Wales Police,-3.945884,51.630980,On or near BAPTIST WELL STREET,W01000744,Swansea 016B,Investigation complete; no suspect identified
d9083a988ae3b730cff272fae99201c5cf5879771d75b5c18cec4e6798ef72dd,2012-06,South Wales Police,South Wales Police,-3.447164,51.712290,On or near Parking Area,W01001150,Rhondda Cynon Taf 003B,Investigation complete; no suspect identified
8fb1f1225b0a91aaecbcb6480fff0c212776e861366591fb5d45c84d8f156ded,2012-06,South Wales Police,South Wales Police,-3.310195,51.587573,On or near PLANE STREET,W01001237,Rhondda Cynon Taf 022B,Investigation complete; no suspect identified
765b6014085904cebbdebd1b417c8efa6204ce3bebfc9aad39bde15f638fa284,2012-06,South Wales Police,South Wales Police,-3.152398,51.486632,On or near PEARL STREET,W01001697,Cardiff 036D,Investigation complete; no suspect identified
f123cf7e99d98bda62bbdb3aff4fba70a2bbd19ec0d2231bc869a58be2e9f048,2012-06,South Wales Police,South Wales Police,-3.166222,51.485992,On or near Further/Higher Educational Building,W01001835,Cardiff 033F,Local resolution
b4848c3e5752cf78370a393e964cd761abb24dadcc9447c6772fbca2b37a7ddd,2012-06,South Wales Police,South Wales Police,-3.178616,51.480131,On or near Shopping Area,W01001941,Cardiff 032G,Investigation complete; no suspect identified
d55ada2ddc648ac28c821351eb0f4cc0f7c2e38f2d970bbd8639f1892e8113cb,2012-06,South Wales Police,South Wales Police,-3.582614,51.614266,On or near TREM Y DE,W01001042,Bridgend 004D,Investigation complete; no suspect identified
896bb57019c3b7e448e7ebdc0d24a0dab4bca565979ca9265294ab559083b98e,2012-06,South Wales Police,South Wales Police,-3.961573,51.647301,On or near GRAHAM BERRY COURT,W01000835,Swansea 013E,Investigation complete; no suspect identified
3ec4245bdf4a23c57000eed26c5b3dac61c9e5d75e3369b6d87a1e0301d6d125,2012-06,South Wales Police,South Wales Police,-3.240574,51.497377,On or near CARTER PLACE,W01001748,Cardiff 027B,Suspect charged
8b612608fb193a342d375e60a5aa22dc660ad0a61c56aacccccbb61f6bd1e8fc,2012-06,South Wales Police,South Wales Police,-3.576832,51.507383,On or near DERWEN ROAD,W01001021,Bridgend 014A,Offender given a caution
7b1ae6e4446985d7f97ad4d6ef112e6a5aea8adf96e70b39aadd77d64fe8b683,2012-06,South Wales Police,South Wales Police,-3.389887,51.761807,On or near BRAMBLE CLOSE,W01001300,Merthyr Tydfil 008B,Local resolution
5c5834afa44052dbf6cb4d72cd0a03281301429c7d83df55446e6f905cde58e4,2012-06,South Wales Police,South Wales Police,-3.422819,51.703093,On or near Supermarket,W01001169,Rhondda Cynon Taf 004C,Suspect charged
08f011a924f4cf70ceda0d4165657db933d0f9f47928fc6d3c98e4ac7f1f15b5,2012-06,South Wales Police,South Wales Police,-3.705239,51.479247,On or near CHURCH PLACE,W01001047,Bridgend 018D,Suspect charged
bc49ab9a9072c1b6ae66305711c4e3a567ffff4e056f083ad543b50313c4e56f,2012-06,South Wales Police,South Wales Police,-3.408457,51.609202,On or near SCHOOL STREET,W01001172,Rhondda Cynon Taf 020A,Suspect charged
6e0afceb67972a692b4b6eb2d91c0b882a678e945d661445b3896fcd1767d6ee,2012-06,South Wales Police,South Wales Police,-3.942052,51.621098,On or near CASTLE STREET,W01001955,Swansea 025F,Offender given a caution
36d5cf25ca45860103f2518274c583256ea460a2bdfd56f7bd4592fd6d222bd8,2012-06,South Wales Police,South Wales Police,-3.214884,51.508580,On or near COLLEGE ROAD,W01001891,Cardiff 020C,Suspect charged
d4924f36f5474c20cba8e8041851dbc663c35b8c994f5e043c608e0c88944c23,2012-06,South Wales Police,South Wales Police,-3.305304,51.665685,On or near WILLIAMS TERRACE,W01001321,Merthyr Tydfil 007D,Suspect charged
613baf7d2c88b78d6ac22f20f5e21d23b9d0050e028a677c7d55fa811d89f84c,2012-06,South Wales Police,South Wales Police,-3.316245,51.583657,On or near MERVYN STREET,W01001184,Rhondda Cynon Taf 026A,Suspect charged
a01a1ab4e191619f50c1f2dec6c8f3c3182177dd94d686791d9c15fc834b5f92,2012-06,South Wales Police,South Wales Police,-3.101710,51.523437,On or near BROCKHAMPTON ROAD,W01001879,Cardiff 013A,Suspect charged
6e2bcb7d287999ecf7e1bf6ca63ba37631a6390d7638daa6f2d8817aaf7bbac6,2012-06,South Wales Police,South Wales Police,-3.160348,51.487210,On or near Petrol Station,W01001835,Cardiff 033F,Suspect charged
f909f1ac948fb310a0340a6f056db6225a05ec2edbf81e0469fbd0978dd4e6f7,2012-06,South Wales Police,South Wales Police,-3.176026,51.480220,On or near Shopping Area,W01001941,Cardiff 032G,Suspect charged
0b2076044ea9efcd4e17148380d06fac4e7ad98ba1e5dd18736051f884fe919f,2012-06,South Wales Police,South Wales Police,-3.144063,51.531682,On or near THE MALTINGS,W01001844,Cardiff 003D,Investigation complete; no suspect identified
453106a6f212aef8b9f01ceae2122a1e4d7ce64b7b98cbe8da93e01bcefa336b,2012-06,South Wales Police,South Wales Police,-3.185123,51.475048,On or near PENDYRIS STREET,W01001764,Cardiff 044A,Suspect charged
