Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-12,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.649808,51.638618,On or near North Street,W01000991,Bridgend 001A,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.660486,51.639753,On or near Griffiths Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.649808,51.638618,On or near North Street,W01000991,Bridgend 001A,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.658207,51.633158,On or near Woodlands Terrace,W01000991,Bridgend 001A,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.658103,51.640605,On or near Maes-Yr-Awel,W01000991,Bridgend 001A,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.659680,51.639072,On or near Heol Ceulanydd,W01000991,Bridgend 001A,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.659547,51.639766,On or near Teras Griffiths,W01000991,Bridgend 001A,Anti-social behaviour,,Not supplied by SWP
674ed8dfc804137860532a2acbec0d49fe60bfcf75aabb91eeb26fe4399423f5,2011-12,South Wales Police,South Wales Police,-3.658207,51.633158,On or near Woodlands Terrace,W01000991,Bridgend 001A,Criminal damage and arson,,Not supplied by SWP
932b7a60aa974fda35db6606861ea9f1e1f16c0374cc11ec1edb1ee3ccf90192,2011-12,South Wales Police,South Wales Police,-3.658223,51.639129,On or near Hartshorn Terrace,W01000991,Bridgend 001A,Criminal damage and arson,,Not supplied by SWP
17a672934f0eefb2586a64d459892ccb54ed496a2f83d85f93a54e30ef5bf54c,2011-12,South Wales Police,South Wales Police,-3.658966,51.633363,On or near Dyffryn Road,W01000991,Bridgend 001A,Criminal damage and arson,,Not supplied by SWP
a601a46ecc70fd0fbaba3c11a916aca60715a2256d1e1e50cd3f4709e52e6014,2011-12,South Wales Police,South Wales Police,-3.658828,51.634723,On or near Tudor Estate,W01000991,Bridgend 001A,Drugs,,Not supplied by SWP
43ad24351edd52c8c42cef4dce0249e762248b603e9d44d879aaf8a1a1350fc0,2011-12,South Wales Police,South Wales Police,-3.658310,51.639532,On or near Lon-Y-Parc,W01000991,Bridgend 001A,Drugs,,Not supplied by SWP
ce1362a93fa1fd360bb3189295915e58ac24d151d09a44441a46949d14ddea88,2011-12,South Wales Police,South Wales Police,-3.658310,51.639532,On or near Lon-Y-Parc,W01000991,Bridgend 001A,Drugs,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.652512,51.638274,On or near George Street,W01000992,Bridgend 001B,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.652131,51.637740,On or near Victoria Street,W01000992,Bridgend 001B,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.652512,51.638274,On or near George Street,W01000992,Bridgend 001B,Anti-social behaviour,,Not supplied by SWP
b7779a524cf585cb9afe153c6fc5e5243a3c4a7e15e77df8ec7eb5bb100510d9,2011-12,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Burglary,,Not supplied by SWP
3d2e26e512a8ec8ab1ab981e76686e539299045909f80acc43cb4776c54c2bda,2011-12,South Wales Police,South Wales Police,-3.652512,51.638274,On or near George Street,W01000992,Bridgend 001B,Burglary,,Not supplied by SWP
5e37adb63dbcf998d8eebc64d7d9c857efeb31a4a06e1c3129811cbee15496e5,2011-12,South Wales Police,South Wales Police,-3.653195,51.636790,On or near Treharne Road,W01000992,Bridgend 001B,Burglary,,Not supplied by SWP
46032d1038400342e073ac431b32920f435f3ec0e3adbdea2392626323f14239,2011-12,South Wales Police,South Wales Police,-3.647430,51.639191,On or near Brynglas Terrace,W01000992,Bridgend 001B,Burglary,,Not supplied by SWP
409f3d91c6436cc27c189b2d7c5212fc83e6ba6402157a723bc30f6051388990,2011-12,South Wales Police,South Wales Police,-3.645147,51.640005,On or near Blaencaerau Estate,W01000992,Bridgend 001B,Criminal damage and arson,,Not supplied by SWP
a8a383b4371a043d94315102d7a17be08822d1a5529b1816edc9d4dec9f64091,2011-12,South Wales Police,South Wales Police,-3.648646,51.638850,On or near Alexandra Place,W01000992,Bridgend 001B,Criminal damage and arson,,Not supplied by SWP
27c70aa14682d528aaab9f376d6d3e678b25b8e8eaca5cebba0471c9f9ad04f5,2011-12,South Wales Police,South Wales Police,-3.655647,51.637852,On or near Protheroe Street,W01000992,Bridgend 001B,Vehicle crime,,Not supplied by SWP
9a047d46973cd3ad6ffa0c8679b854bb9aae8f78e1f176d706209dd8d431792d,2011-12,South Wales Police,South Wales Police,-3.655647,51.637852,On or near Protheroe Street,W01000992,Bridgend 001B,Vehicle crime,,Not supplied by SWP
278367ec5bfe113924da3669dc18ce3ddf5011fa747b1c22ad85dc13b335e7f6,2011-12,South Wales Police,South Wales Police,-3.647430,51.639191,On or near Brynglas Terrace,W01000992,Bridgend 001B,Violent crime,,Not supplied by SWP
324dc616e22d3698d90a8f139ffd4121e53aa48909d3d79d30adcb9c959684c8,2011-12,South Wales Police,South Wales Police,-3.652131,51.637740,On or near Victoria Street,W01000992,Bridgend 001B,Violent crime,,Not supplied by SWP
7cc09a9bc7a9f29405fd03655b3425bca4724414fcffbd530e6df028b353fbef,2011-12,South Wales Police,South Wales Police,-3.652512,51.638274,On or near George Street,W01000992,Bridgend 001B,Violent crime,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.658909,51.631395,On or near Humphreys Terrace,W01000993,Bridgend 001C,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.656435,51.634478,On or near Talana Terrace,W01000993,Bridgend 001C,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.654602,51.634944,On or near Library Road,W01000993,Bridgend 001C,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.655984,51.632812,On or near Gelli Street,W01000993,Bridgend 001C,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.653729,51.635164,On or near Wesley Street,W01000993,Bridgend 001C,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.653606,51.634563,On or near Lloyd Street,W01000993,Bridgend 001C,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.653606,51.634563,On or near Lloyd Street,W01000993,Bridgend 001C,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.658909,51.631395,On or near Humphreys Terrace,W01000993,Bridgend 001C,Anti-social behaviour,,Not supplied by SWP
,2011-12,South Wales Police,South Wales Police,-3.655136,51.632950,On or near Carmen Street,W01000993,Bridgend 001C,Anti-social behaviour,,Not supplied by SWP
