Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
754f08e19e2d098cabb55d3a84c38537f1e9722cf482cb2f310cf769d23d0419,2014-06,South Wales Police,South Wales Police,-3.948627,51.663604,On or near PENGWERN ROAD,W01000817,Swansea 009A,Unable to prosecute suspect
503e940789ae1920b83fbce629110c16912cd464c338acc5f4fa5d078aa3f8a6,2014-06,South Wales Police,South Wales Police,-3.588287,51.550435,On or near LON HEULOG,W01001057,Bridgend 006B,Unable to prosecute suspect
ad9258000ebc4b77cd6652da81194edb61562e907fbbcce86b1206781e049e49,2014-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
5a51d56afb17dd98640971690fdaf1e709c7e847712a00ca83f711dbcbec6dd3,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
4f69dc93714b814ef75b838c586158c6fa0ef528b658cb27d137cf552f1cfa14,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
1f536097d279717daa11617a92162a749ce26ddc11cf50e7a3850e03a6727d09,2014-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
29261c5d90c3c0b7abd94b7cfb5dbb70f3af5c85d8b90ea7eba27f31817ba773,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
a278bc3a2755e7ccc01c19a53851baa5399ea968985bb2dce417d1c2297de11e,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
0c522f1ad60c9e7b32da3f7094cfaa5af0711c0a2d9f9e5406a740f9f82b7cde,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
64b84da7b62b1bd731692fde2809252bd61bafa63fa2d04553a890c22e69ce63,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
41fac4dcdd54d7b67bff1ae328bc3752bc771fc2ca0532ed112e92fe6ad02f50,2014-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
53bf17f0d76165458db262777d559be4aa4036a2277118befe6e5b97ee8d58d5,2014-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged as part of another case
513d7498cfa7113004581ca779702b2a8b5df68726e41f7fc2622e640be41a5e,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
bcb8d759e6a75bb29aba805a7cad1baa9870b342a9059314bf250050edc7bc0e,2014-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
d05ab8f15c9615bb53a257014c281200168f44cb12e7c92a9ed9d329aee50cef,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
1ab99291bdfe5f09e9624eeba13bca57424e2889582339391b3463880180b219,2014-06,South Wales Police,South Wales Police,,,No location,,,Formal action is not in the public interest
98148be37f569ee14e68233dff97cc18e0c169068043eac4ef2115a31d8843ac,2014-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
256aa4ca520969dc5f128347abe656f1b68d74ae090dec16fab28e6eebe05866,2014-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
2e991c0080bec0b8c1e70417e991201709686a72d72bae2b5026448e1a4c5f5d,2014-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged as part of another case
87129b235887b5ddf44c640cc881b54aca5b8877e313c49ddb4bcde7e0009584,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
f4d54598b06b8b9f5ecd4da586cc8af7805bc9f4c0a309d67840f49eb5a6ad4f,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
8e0e3e42fe5e9c5d247b8b0e2a90564114f339117cf6236d2b2380333ceffc44,2014-06,South Wales Police,South Wales Police,,,No location,,,Local resolution
92a62801b5ff95ec6435d85444eaa92dfabd59af76c45b7668a16447aed6d61e,2014-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
d1bf1a67ec71ea36ecdca59685cde089e6e6c5c5633ea72b62e7f76e9754ab13,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
5b086fb6f0c772bc2ee0233747c5508309b8705983b09303a512fd822abb2a59,2014-06,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
ba5ddbc4cb16d134c4148f54144893241a686f7321f36b6c1086c4f1fe1ea833,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
428df87ea22ee6d909938ad5bc902a741a9275703f1b4edb06c370d54263cabb,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
874d9752326ec5234baff49905fdcafb3ce045e052c1bc3c7a58285606635a1d,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
1e0470ef7eb36947ed4a90ccba86c1ba0c5f840f991f1ea5939652d5a8248631,2014-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
148da319723dfb8f57a80e960be7f18d4300c78a9643159596ee2852aba78bc1,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
da6a10150fec261e38ae6bafce562c5e45bd632d64b6ab9bd35d058e421d9989,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
8028c53f2424f0cb6c08d8294bd222a9a5e8535b4ed73b2f291e66be61b9da73,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
bb36c48d0c513ee7abf22e300eec01972a7f6e0cb957694e8b0a0fdbc4bc8727,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ec29726b12c30136f11bc352e7e6f5353156ec095fcf6e2366c335cc8e7f21e7,2014-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
1e7ca230058e1718297719fe0ca89bada8b655c316176f7bf1ff651ad87cb9ad,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7fed9a2d4fb6a016af6f0158e822a75998a90016d25fc6eb12e622698dce9ca8,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
495eec47f30890d9e4928ed138c5cb211a345d515abb08aecdc1e9aa51af26b8,2014-06,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
ed2c60e8cc62845833056e46390f9a90065d3d318ec75f6ccfea5803894d9f13,2014-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
681bd6e53b9b8aa4fd0d5782e9bee01690af455c802d4932142f596324bddb2d,2014-06,South Wales Police,South Wales Police,,,No location,,,Suspect charged
1c8382f0355c43e29c95d4d0209e4376f136ae5b7852c8956ad0370626de9159,2014-06,South Wales Police,South Wales Police,-3.181286,51.480913,On or near Nightclub,W01001939,Cardiff 032F,Offender given a caution
