Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1b0300c7448e80286be9109660cd97d09c097dcfcdeae4a21d77bf9e332415ab,2014-01,South Wales Police,South Wales Police,-3.250977,51.413200,On or near MENDIP VIEW,W01001070,The Vale of Glamorgan 009C,Suspect charged
3aac584c2c72320b6740eda282f8656ac0ab00ac8fd84089f4db1059552f580a,2014-01,South Wales Police,South Wales Police,-3.618693,51.747647,On or near Sports/Recreation Area,W01000926,Neath Port Talbot 003C,Suspect charged
693d9bda46b4d93edb090acda10d02cc9916301d6aea4564653f24b776a4da20,2014-01,South Wales Police,South Wales Police,-3.247780,51.477958,On or near GOUGH ROAD,W01001740,Cardiff 039D,Suspect charged
a982c9b1fad231be90a27783086509e96935fa004c0e7e4c817fb532d06fd737,2014-01,South Wales Police,South Wales Police,-3.390003,51.523198,On or near Parking Area,W01001226,Rhondda Cynon Taf 031F,Suspect charged
afa7fee2926afa7ba4af08994dd8012844df8c6c92bd4e4acf1857194908587a,2014-01,South Wales Police,South Wales Police,-3.786521,51.597833,On or near Pedestrian Subway,W01000884,Neath Port Talbot 017A,Offender given a caution
d1179d3e1315e8f8a94c9761da2208cc46fdfeb4908270aea04abf3866fdb267,2014-01,South Wales Police,South Wales Police,-3.947793,51.618863,On or near Shopping Area,W01001955,Swansea 025F,Suspect charged
dcbcdf66876d762cc0f68c00ccd0b3729197a5748b4c94d9de0f945d1225466b,2014-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
0b656655e9080f01f62c59eb69f8a45421f65ab89b3afdc0765a4cb4d2f9a891,2014-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
dcbcdf66876d762cc0f68c00ccd0b3729197a5748b4c94d9de0f945d1225466b,2014-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
e6b1dac174e24c2b524377d67a9e3da25d622340ff9f05407184335c3fa6c187,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
e6b1dac174e24c2b524377d67a9e3da25d622340ff9f05407184335c3fa6c187,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
84022601a81b6d01888feba7d81a8f7f7c135b662c8a8880882d8e1138aa6c5d,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
11547687eea460745192ded558187692a20e280e1e736af9fb7f90f7723ee6d0,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged as part of another case
087eb37d8e6ebef9777515d0850190c776052b84058efc2f6dca0a8c01071df3,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
5c6b4318ff325e89c383e2ef0f78eccdcecd1b3fe6773161222d398262d13190,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
865e8ed71c3b37a0611cd67ff5f7c6ca9bda0e7d0135e87540d84adbe4ca1ff7,2014-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
405a165c483b18e6d0fbf46059e86d49915338eb3107c4f0736b9e2c878cfba6,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
9f186d22f3a3fb38a5b9cf8ba22ffd694c566390992dd60962372325405a4328,2014-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
e38b9fdab9cf20a5aab334979d299046cdd04693f54215a77ccbe9df5be39533,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
2747ec3c543f721d406334355f2aa2ae340a37f9ecc443e143747e17e06d5bf1,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
230e38b215c0179819848eb1f0e89f5193c2ebbb13522bf32d4cb9ed6610156f,2014-01,South Wales Police,South Wales Police,,,No location,,,Offender given a caution
e51a9ea9268375af34c196380bf145222bf96dd1f92252f514a286f17239a875,2014-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d7d2c0e1a71e035cf62d5cad4d6a1955138ef2c072e27d0291dc04620b63fa64,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
a675d7ae05aeb93b17c826646a13c9184cb6b185aba2a58218ee60cb0bef5478,2014-01,South Wales Police,South Wales Police,,,No location,,,Offender given a caution
21b47e0bc31d53ce90fbf74dafdc948002c1aa5e491efac9360f10a9df601eb6,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
3dbf546df2242cec93f99d41258473c93af1233f744a8949a0c75ff416d49b88,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
7eac87d131d637d98662c096fef47b7a04bf8f4dbfb365465c14c93831a0a56b,2014-01,South Wales Police,South Wales Police,,,No location,,,Suspect charged
bc3ec718f8826d59d7e690ebd508a53f8365360a8f803dc33b81a221c038e8b1,2014-01,South Wales Police,South Wales Police,,,No location,,,Local resolution
17a7af80adecec4002018f6a49750dfc140e8dbd99cfcd831933e46c10d8e9c9,2014-01,South Wales Police,South Wales Police,,,No location,,,Offender given a caution
25e8155996bdb57dffa7f5d3642febab809b1aaed08731fc590de24481f4a1ca,2014-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
49145cc259c4dd65416bc6e6f0c230ec45b6b38ca59126be28d9a57124cc124c,2014-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
bc9717c5a323a9345be541bf820dd0e3ec42f10d63e7884bdfc0a92c09b0bbd4,2014-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
50d8c18b5756284753aaac93bc725f7358c1ab4425710b8e3c395682726ec6fb,2014-01,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
