Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
18fb665266ffb133c15195ba003641155b84ff526d78882c003b18c862ffe15f,2013-10,South Wales Police,South Wales Police,-3.811694,51.606340,On or near RHODFA'R GLWYSTI,W01000883,Neath Port Talbot 016A,Investigation complete; no suspect identified
bb8ac52569dc5e0f679fec08363cd76ffd3adeb6e99dd749b3ddc5b36e8ef905,2013-10,South Wales Police,South Wales Police,-3.800874,51.652952,On or near JENKINS ROAD,W01000941,Neath Port Talbot 012B,Investigation complete; no suspect identified
88fdfa69cc6a066d0972b4db79851df431399a9dd7937a43fe30a7cab6fb7ef1,2013-10,South Wales Police,South Wales Police,-3.701284,51.509555,On or near CLOS YR HEN EGLWYS,W01001000,Bridgend 010B,Investigation complete; no suspect identified
501f678404334104953227b2b409e7c995e2409eafd750f3c3776876ed765793,2013-10,South Wales Police,South Wales Police,-3.442650,51.710548,On or near WIND STREET,W01001150,Rhondda Cynon Taf 003B,Investigation complete; no suspect identified
f224c8b64ef709ba0bec2526604abd3d4bd8ab53dda276f1a4d29f3c90325a9d,2013-10,South Wales Police,South Wales Police,-3.361990,51.744843,On or near PENHEOLFERTHYR,W01001316,Merthyr Tydfil 005B,Investigation complete; no suspect identified
64304dff67107280218c6e1e51c6fe5199196ec244615372d3132d96b16ef242,2013-10,South Wales Police,South Wales Police,-3.589139,51.456482,On or near WICK ROAD,W01001128,The Vale of Glamorgan 001C,Investigation complete; no suspect identified
5601132c717ad94508623b95c1202eb176ac7ca5563193eb867266bc412c1db0,2013-10,South Wales Police,South Wales Police,-3.132660,51.506157,On or near WHITEHALL PLACE,W01001864,Cardiff 022B,Investigation complete; no suspect identified
299bbb156bece46d91f1836c2b25211220afcacedfd8a8b2e3484f5c3a17edb2,2013-10,South Wales Police,South Wales Police,-3.243735,51.480115,On or near TEIFI PLACE,W01001737,Cardiff 039A,Investigation complete; no suspect identified
7494d2f825b4b706bd8f21fd35184d9b4dc2c510e919cc81cbb8b4430d0e7c08,2013-10,South Wales Police,South Wales Police,-3.231678,51.522729,On or near PANTMAWR ROAD,W01001894,Cardiff 010C,Investigation complete; no suspect identified
fdad4290df5ae1857931448641ed4ee5122849099b3278a48203b0a9218d4a02,2013-10,South Wales Police,South Wales Police,-3.199633,51.518799,On or near HEOL MYNYDD BYCHAN,W01001773,Cardiff 012A,Investigation complete; no suspect identified
9f636ea3053f515931f5823b5d24c30d2ccadbfcfdcd94ac940be6c94a8264d1,2013-10,South Wales Police,South Wales Police,-3.221571,51.515623,On or near TY'N-Y-PWLL ROAD,W01001896,Cardiff 020E,Investigation complete; no suspect identified
bac59c6134c84ff8d8d5e112cf9179daa68b18eea307cdb6f65bef0caa417e28,2013-10,South Wales Police,South Wales Police,-3.887887,51.670001,On or near HEOL-LAS CLOSE,W01000796,Swansea 006B,Investigation complete; no suspect identified
937bf92db78e1a532ddb134d800a2f18ee7122ecb36cb74a6d6120547b6be2fc,2013-10,South Wales Police,South Wales Police,-3.780545,51.767444,On or near GURNOS ROAD,W01000973,Neath Port Talbot 020F,Investigation complete; no suspect identified
39469d61dcf16a3592145e469ae9657c236ed9262500b6103491131c293647dc,2013-10,South Wales Police,South Wales Police,-3.951573,51.619771,On or near PAGE STREET,W01000745,Swansea 025B,Investigation complete; no suspect identified
34f64a087fb3890257523609f1ef66e3088a173f027e7b7e4945367c9c4da9d1,2013-10,South Wales Police,South Wales Police,-3.422250,51.696041,On or near FARM ROAD,W01001142,Rhondda Cynon Taf 005F,Investigation complete; no suspect identified
210b450c4e3454c5c8316c837f22d074c74fd999764d383252781f0baee0cb70,2013-10,South Wales Police,South Wales Police,-3.200261,51.509800,On or near HAMPTON ROAD,W01001775,Cardiff 021B,Investigation complete; no suspect identified
6917067aa6e0e3b393943dc37ea8282c96bab68370f68e3cdc4ce6acd646ed5d,2013-10,South Wales Police,South Wales Police,-3.148304,51.504845,On or near PINE WOOD CRESCENT,W01001828,Cardiff 024D,Investigation complete; no suspect identified
276d590114b38894e73e9c1c8f5801b2cb5ada7335a1e91dde062b35119f90f5,2013-10,South Wales Police,South Wales Police,-3.437859,51.716451,On or near COLLEGE STREET,W01001147,Rhondda Cynon Taf 004A,Investigation complete; no suspect identified
f16f872ee4fb93a153be98542ef81ff0016ea160812ad77c426db5e8de48ac69,2013-10,South Wales Police,South Wales Police,-3.786689,51.650291,On or near LIME GROVE,W01000942,Neath Port Talbot 012C,Investigation complete; no suspect identified
cf32754a05e165f64bec0441470afa5d18697c57fdd95b3859f3de9885f64220,2013-10,South Wales Police,South Wales Police,-3.961700,51.643217,On or near BRENIG ROAD,W01000835,Swansea 013E,Investigation complete; no suspect identified
1f57dd2f14e1079b122d82dd48105ff3d1e4d8b7452a78fb9579402176e91f7b,2013-10,South Wales Police,South Wales Police,-3.247147,51.508052,On or near Sports/Recreation Area,W01001948,Cardiff 006E,Investigation complete; no suspect identified
22470ba7f9f2342852bb2472fa878b8df15cfb8436b3f7b28a1b765f52c9ae60,2013-10,South Wales Police,South Wales Police,-3.709154,51.523477,On or near HEOL FACH,W01000999,Bridgend 010A,Investigation complete; no suspect identified
3fc475fea26d490f18719f3780269189e1112a3c699145274bd10c89866fd4cb,2013-10,South Wales Police,South Wales Police,-3.228878,51.481359,On or near DYFRIG CLOSE,W01001706,Cardiff 041B,Investigation complete; no suspect identified
990f280c6f763ac724c54dd1f4c16ba5630bc00ce28f898d26493f1845776e0f,2013-10,South Wales Police,South Wales Police,-3.178168,51.495152,On or near Supermarket,W01001720,Cardiff 028C,Investigation complete; no suspect identified
70697b741eda999e9954c7600ec5b64b4a9d6f25e5c75d3b80bfa37530360c8f,2013-10,South Wales Police,South Wales Police,-3.439294,51.602929,On or near Sports/Recreation Area,W01001253,Rhondda Cynon Taf 023C,Investigation complete; no suspect identified
9711d2b46cec5aa11fa09766caf332486dfab00600874812b720cd5d9af9a19b,2013-10,South Wales Police,South Wales Police,-3.266782,51.412760,On or near BRECON COURT,W01001096,The Vale of Glamorgan 007E,Investigation complete; no suspect identified
04f1712e2f529dd0eeaa85ae0a138b0605e33f25cece782f918f06310e1332b6,2013-10,South Wales Police,South Wales Police,-3.776914,51.595497,On or near OAKWOOD PLACE,W01000950,Neath Port Talbot 018B,Investigation complete; no suspect identified
d60f74860014cfc7ffd136462b4f64878f1bf5d753ab6baa1c4b9da4eb5f9f06,2013-10,South Wales Police,South Wales Police,-3.956023,51.618771,On or near DUKE STREET,W01000871,Swansea 026B,Investigation complete; no suspect identified
46c0d62ada1915dc1e5a081bd69b649fbbc2b5111f3602c069a7fe8cdf0ed3d8,2013-10,South Wales Police,South Wales Police,-3.296075,51.574296,On or near SEVERN ROAD,W01001244,Rhondda Cynon Taf 025B,Investigation complete; no suspect identified
ec796daa3018dd9bf95989250eb0c895bf247a5cd2d09553a9cb40f0f72b7bd9,2013-10,South Wales Police,South Wales Police,-3.238324,51.481305,On or near PENDINE ROAD,W01001746,Cardiff 041D,Investigation complete; no suspect identified
4c04d051bf219ba451af4c7a1e1fd9b93aa26727ea233924a2129820d35543a9,2013-10,South Wales Police,South Wales Police,-3.198205,51.481938,On or near Parking Area,W01001861,Cardiff 034D,Investigation complete; no suspect identified
d0392753e596943b05e6f6ba2041207f91d210f5a0ac44fddab3a6f25ccc6522,2013-10,South Wales Police,South Wales Police,-3.189751,51.501851,On or near Supermarket,W01001755,Cardiff 025A,Investigation complete; no suspect identified
