Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
84b7192bcfce433c74053cc567ab0f5a8605a91ddfa4090fa2a2334eb3fcd234,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
74e8451026091df39e20ff25129696acd6321562b13e516631844963722f2857,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
3bce1010ea591e79b71ad8383ccce4afc3e26bb87599f45855414507d5711a97,2014-08,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
6d714fc2724d254bf18e48f33e21e7e25ce18a7a42741bb2dd38820f2a2f14e4,2014-08,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
74a2841645f6785ba000a4e63c75877dd2b94c77db8b775f3a95efb2811fb249,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
02f116f35ea3cd38600e45ca7115bd67e030cb69e20e60a3948a566fd4f857cb,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7a2a4241b437b5febdaf5900a0b408cd7f8da3deaa89e5f434748cf9647401ad,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
583fd65f1433a9f9bed6ab309c5acf5bd7000b7219b4eb16b2da8fc0aed12062,2014-08,South Wales Police,South Wales Police,,,No location,,,Offender given penalty notice
249506ee6eedf3e9303421569955dacd0d1d098285a1ded4b56c1fbcfbf3dbaf,2014-08,South Wales Police,South Wales Police,,,No location,,,Suspect charged
608d9131c0975587be3448f3f294ff06c9b961a652900c0e5f66cc1fce10e2b4,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
686f80c52ec58c0060c6cb0d5129f658af18c6bbceaac2c0e8b4a4c763f819de,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
247c8b12046360d701761d73b36ebaa58a61bb019c333b35b809993bcbe118df,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
826d2ac6f1e21948117fd5c168a2007475576dc008e042badc8c7637f79759cf,2014-08,South Wales Police,South Wales Police,,,No location,,,Suspect charged
3063e0a5f980cd62128470c029d601d5875d105401d459e6d45bd3f763a86124,2014-08,South Wales Police,South Wales Police,,,No location,,,Suspect charged
44f05d058565081d513611a52a3a26eaebec9c81e3b20c2c056b2a50462bc33d,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
bc3f69210dcccb35baafd92fb34342c06f0094ecb9eff95110d9f869592d67eb,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
eae62aba3d8a069c878ce3e4d70f9222df662eea06a39437793e92a178f92c1e,2014-08,South Wales Police,South Wales Police,,,No location,,,Unable to prosecute suspect
f4da2064812bbcb52022a91f70d6e45e93ee844d9d0996558c0942bd69a68a2c,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
a95ca47cef0f1d135b3a561fd9403ebacc840224031fc58dd2a4a262610ae4c4,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
6611605a3ab2f73533ef89db31cc6748d0e2bb59c6982fb6ec35c5e68bfa4dac,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
2dfc049f68a8bb895cf92805d1f04fc8981fade2e065a5e95fc5f9f8ea5901a8,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
d40c451d4e623d02165214fc448e0e6d6caccf2c732532a7db57b2cecd7da39b,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
7809fba8d7c30a78026a0a2c11f4a838b861633b1b2d564b6da6b5a4ac62a67f,2014-08,South Wales Police,South Wales Police,,,No location,,,Suspect charged
d7b9fec88503fb0ebdd0572e4af4c9f4df8cd7de047d961ed835aaa74cb2c694,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
cc2e61834143b20d10e9d463912ad495453590f2f84015320462ee26390cbc8f,2014-08,South Wales Police,South Wales Police,,,No location,,,Suspect charged
30ba60667b156db8bb99804a1786b2c125c888af2ee1369ee9649436cd428085,2014-08,South Wales Police,South Wales Police,,,No location,,,Investigation complete; no suspect identified
